rainfall_1h,rainfall_6h,rainfall_24h,rainfall_72h,soil_moisture,slope,elevation,historical_events,temperature,humidity,landslide
5,20,45,80,25,10,500,0,24,55,0
8,35,70,120,35,15,700,0,23,62,0
12,50,110,190,45,20,900,1,22,70,0
15,70,150,250,55,25,1100,1,21,75,1
20,90,190,320,65,30,1300,2,20,82,1
25,120,260,420,75,35,1500,3,19,88,1
30,150,330,520,85,40,1800,4,18,92,1
6,25,55,100,30,8,400,0,26,58,0
10,40,90,150,40,12,600,0,25,65,0
14,60,130,220,50,18,850,1,23,72,0
18,80,180,290,60,27,1000,1,22,78,1
22,100,230,360,70,32,1250,2,20,84,1
28,130,300,480,82,38,1600,3,19,90,1
35,180,400,650,90,45,2000,5,17,95,1
4,15,35,60,20,7,300,0,28,50,0
9,30,65,115,32,13,550,0,25,60,0
13,55,105,180,43,17,800,1,24,68,0
17,75,160,270,58,23,1050,1,22,76,1
21,95,210,340,68,29,1200,2,21,83,1
27,125,280,450,78,36,1450,3,20,89,1
32,165,360,570,88,42,1750,4,18,94,1
7,28,60,105,28,9,450,0,27,57,0
11,45,100,170,42,16,750,0,24,67,0
16,68,145,240,52,21,950,1,23,74,0
19,88,195,310,63,26,1150,2,21,80,1
24,110,250,390,73,33,1350,2,20,86,1
29,145,315,500,84,39,1650,4,18,91,1
37,200,450,720,94,48,2200,6,16,96,1
5,18,40,75,23,11,480,0,26,54,0
12,48,115,200,47,19,880,1,23,71,0
23,105,240,375,71,31,1280,2,20,85,1
31,155,350,560,86,43,1700,4,18,93,1
